tx_name, rx_name, sig(V*ps), isi(V*ps), xtalk(V*ps), pseudo_eye(V*ps), power_ratio
1_U2A5_M_DQ<0>, 2_U1B5_M_DQ<0>, 37.432, 21.885, 46.795, -31.249, 0.545
3_U2A5_M_DQ<10>, 4_U1A1_M_DQ<10>, 39.531, 18.934, 16.847, 3.750, 1.105
5_U2A5_M_DQ<11>, 6_U1A1_M_DQ<11>, 39.009, 19.883, 33.045, -13.918, 0.737
7_U2A5_M_DQ<12>, 8_U1A1_M_DQ<12>, 39.030, 19.924, 33.145, -14.039, 0.735
9_U2A5_M_DQ<13>, 10_U1A1_M_DQ<13>, 37.126, 21.452, 28.062, -12.389, 0.750
11_U2A5_M_DQ<14>, 12_U1A1_M_DQ<14>, 38.881, 19.665, 29.519, -10.302, 0.791
13_U2A5_M_DQ<15>, 14_U1A1_M_DQ<15>, 38.438, 20.323, 39.740, -21.625, 0.640
15_U2A5_M_DQ<1>, 16_U1B5_M_DQ<1>, 37.647, 23.268, 48.356, -33.976, 0.526
17_U2A5_M_DQ<2>, 18_U1B5_M_DQ<2>, 37.926, 21.838, 29.952, -13.863, 0.732
19_U2A5_M_DQ<3>, 20_U1B5_M_DQ<3>, 38.803, 20.185, 27.225, -8.607, 0.818
21_U2A5_M_DQ<4>, 22_U1B5_M_DQ<4>, 37.975, 20.812, 48.807, -31.644, 0.545
23_U2A5_M_DQ<5>, 24_U1B5_M_DQ<5>, 37.241, 22.649, 52.054, -37.461, 0.499
25_U2A5_M_DQ<6>, 26_U1B5_M_DQ<6>, 36.793, 24.751, 50.298, -38.257, 0.490
27_U2A5_M_DQ<7>, 28_U1B5_M_DQ<7>, 37.877, 21.710, 44.954, -28.787, 0.568
29_U2A5_M_DQ<8>, 30_U1A1_M_DQ<8>, 39.504, 18.363, 16.289, 4.852, 1.140
31_U2A5_M_DQ<9>, 32_U1A1_M_DQ<9>, 38.856, 19.598, 35.923, -16.665, 0.700
DP_M_DQS0, DP_M_DQS0, 39.163, 19.232, 27.018, -7.087, 0.847
DP_M_DQS1, DP_M_DQS1, 39.971, 18.627, 13.973, 7.371, 1.226
